Time (s),A-output,B-output
2.18,-0.085409,0.057446
2.185,-0.063179,0.058138
2.19,-0.054172,0.110631
2.195,-0.02821,0.079781
2.2,-0.024967,-0.00808
2.205,-0.094501,-0.006956
2.21,-0.143798,0.014883
2.215,-0.132134,0.022405
2.22,-0.096066,-0.001811
2.225,-0.084373,0.014782
2.23,-0.055118,0.040202
2.235,-0.000986,0.077693
2.24,0.045195,0.074887
2.245,0.073266,0.043909
2.25,0.078771,0.06077
2.255,0.097787,0.070639
2.26,0.078558,0.118701
2.265,0.048414,0.09063
2.27,0.015538,0.089121
2.275,0.029093,0.122861
2.28,0.058194,0.086786
2.285,0.053887,0.043435
2.29,0.092762,-0.039428
2.295,0.14306,-0.074538
2.3,0.196122,-0.090233
2.305,0.192252,-0.070677
2.31,0.172426,-0.113564
2.315,0.194299,-0.176992
2.32,0.189239,-0.153738
2.325,0.17329,-0.14044
2.33,0.131021,-0.122419
2.335,0.114282,-0.158244
2.34,0.118891,-0.178243
2.345,0.125616,-0.170877
2.35,0.122945,-0.140243
2.355,0.128287,-0.113653
2.36,0.167977,-0.119679
2.365,0.181658,-0.095456
2.37,0.189636,-0.082527
2.375,0.185347,-0.083645
2.38,0.173359,-0.099104
2.385,0.150144,-0.114957
2.39,0.121949,-0.112299
2.395,0.097187,-0.09141
2.4,0.081248,-0.045009
2.405,0.063969,-0.018504
2.41,0.039291,-0.011939
2.415,0.034181,0.03538
2.42,0.041676,0.006341
2.425,0.011798,-0.032731
2.43,0.011553,-0.009147
2.435,0.07405,-0.037653
2.44,0.098035,-0.066926
2.445,0.081261,-0.078514
2.45,0.047385,-0.06259
2.455,0.042743,-0.045975
2.46,0.016506,-0.035063
2.465,-0.032491,-0.063374
2.47,-0.055409,-0.084806
2.475,-0.071607,-0.043613
2.48,-0.066408,0.001664
2.485,-0.069672,0.048287
2.49,-0.048324,0.040982
2.495,-0.028865,0.036507
2.500196,-0.019432,0.036715
2.505196,-0.033977,0.079181
2.510196,-0.065068,0.141553
2.515196,-0.069457,0.115118
2.520196,-0.085368,0.072331
2.525196,-0.109026,0.037011
2.530196,-0.149986,0.062918
2.535196,-0.149079,0.069472
2.540196,-0.126286,0.042352
2.545196,-0.121625,0.030612
2.550196,-0.117593,0.05139
2.555196,-0.121769,0.154932
2.560196,-0.102492,0.216019
2.565196,-0.09709,0.189044
2.570196,-0.118858,0.125069
2.575196,-0.138975,0.101357
2.580196,-0.139935,0.116354
2.585196,-0.126682,0.127292
2.590196,-0.142383,0.143504
2.595196,-0.152716,0.128596
2.600196,-0.15198,0.128938
2.605196,-0.13932,0.143015
2.610196,-0.126541,0.124747
2.615196,-0.12175,0.09933
2.620196,-0.110053,0.07718
2.625196,-0.105782,0.051981
2.630196,-0.103215,0.0191
2.635196,-0.107411,-0.016807
2.640196,-0.093715,-0.020786
2.645196,-0.070879,-0.037006
2.650196,-0.058489,-0.024777
2.655196,-0.051458,0.050772
2.660196,-0.043141,0.064621
2.665196,-0.08685,0.040559
2.670196,-0.139509,0.015024
2.675196,-0.135358,0.036514
2.680196,-0.105472,0.070154
2.685196,-0.10185,0.08425
2.690196,-0.084158,0.055964
2.695196,-0.023361,0.022102
2.700196,0.045139,0.058776
2.705196,0.086932,0.036251
2.710196,0.07579,0.023162
2.715196,0.085079,-0.007449
2.720196,0.093227,0.010962
2.725196,0.069229,0.04054
2.730196,0.033635,0.017598
2.735196,0.016964,0.02205
2.740196,0.061858,-0.00161
2.745196,0.073411,0.041638
2.750196,0.078904,0.05452
2.755196,0.111034,0.050349
2.760196,0.161423,0.008918
2.765196,0.198899,-0.050617
2.770196,0.191732,-0.049999
2.775196,0.199962,-0.077347
2.780196,0.178089,-0.072805
2.785196,0.1627,-0.120692
2.790196,0.132911,-0.153798
2.795196,0.115717,-0.115854
2.800196,0.118897,-0.090961
2.805196,0.110747,-0.093184
2.810196,0.122753,-0.131869
2.815196,0.136104,-0.13031
2.820196,0.162983,-0.11385
2.825196,0.177837,-0.094077
2.830196,0.183099,-0.104593
2.835196,0.181471,-0.126603
2.840196,0.179421,-0.12393
2.845196,0.160933,-0.119151
2.850196,0.123474,-0.121861
2.855196,0.096028,-0.129499
2.860196,0.07523,-0.094202
2.865196,0.061279,-0.066162
2.870196,0.051057,-0.054793
2.875196,0.035071,-0.043487
2.880196,0.01932,-0.091243
2.885196,0.006548,-0.124067
2.890196,0.010392,-0.073667
2.895196,0.07191,-0.043057
2.900196,0.099781,-0.023536
2.905196,0.080285,-0.032776
2.910196,0.051783,-0.060744
2.915196,0.040124,-0.072164
2.920196,0.025719,-0.062633
2.925196,-0.040557,-0.017673
2.930196,-0.078291,-0.015449
2.935196,-0.07559,0.006102
2.940196,-0.049217,0.002739
2.945196,-0.054076,0.013869
2.950196,-0.068963,0.033432
2.955196,-0.045158,0.057605
2.960196,-0.026245,0.084409
2.965196,-0.040383,0.037899
2.970196,-0.086774,0.062298
2.975196,-0.100952,0.130723
2.980196,-0.09146,0.173874
2.985196,-0.090512,0.138283
2.990196,-0.117761,0.055265
2.995196,-0.136957,0.044971
3.000196,-0.109725,0.101424
3.005196,-0.091513,0.141993
3.010196,-0.095528,0.076883
3.015196,-0.125436,0.019379
3.020196,-0.129512,0.021878
3.025196,-0.110757,0.070624
3.030196,-0.112485,0.101816
3.035196,-0.130027,0.096342
3.040196,-0.150025,0.097151
3.045196,-0.134935,0.074096
3.050196,-0.138889,0.082557
3.055196,-0.148196,0.073052
3.060196,-0.151245,0.045825
3.065196,-0.152311,0.039311
3.070196,-0.145705,0.043585
3.075196,-0.147628,0.060956
3.080196,-0.139421,0.076324
3.085196,-0.129216,0.080634
3.090196,-0.117845,0.041963
3.095196,-0.110268,0.012782
3.100196,-0.108117,0.025532
3.105196,-0.090431,0.091157
3.110196,-0.063452,0.226189
3.115196,-0.058412,0.340592
3.120196,-0.049205,0.323367
3.125196,-0.069691,0.265003
3.130196,-0.129668,0.213953
3.135196,-0.154033,0.149883
3.140196,-0.133985,0.092261
3.145196,-0.112004,0.045509
3.150196,-0.096097,0.053204
3.155196,-0.039986,0.052754
3.160196,0.018107,0.047569
3.165196,0.067124,0.024681
3.170196,0.079378,0.038682
3.175196,0.076816,0.061237
3.180196,0.086769,0.059336
3.185196,0.063667,0.058536
3.190196,0.036266,0.050614
3.195196,0.007877,0.086081
3.200196,0.027717,0.074043
3.205196,0.045869,0.044863
3.210196,0.056338,-0.031774
3.215196,0.101597,-0.071798
3.220196,0.146351,-0.042117
3.225196,0.186066,-0.062754
3.230196,0.173713,-0.060268
3.235196,0.183839,-0.123177
3.240196,0.189647,-0.108118
3.245196,0.169839,-0.064713
3.250196,0.145702,-0.089903
3.255196,0.106793,-0.10136
3.260196,0.112511,-0.133679
3.265196,0.121287,-0.102645
3.270196,0.132569,-0.07912
3.275196,0.137636,-0.075736
3.280196,0.154654,-0.097472
3.285196,0.180758,-0.105167
3.290196,0.189408,-0.083765
3.295196,0.182107,-0.08822
3.300196,0.17348,-0.087324
3.305196,0.165097,-0.101666
3.310196,0.134222,-0.097883
3.315196,0.102756,-0.073673
3.320196,0.081606,-0.063462
3.325196,0.064739,-0.055929
3.330196,0.054122,-0.032136
3.335196,0.031372,0.006603
3.340196,0.019218,-0.083886
3.345196,0.046745,-0.263297
3.350196,0.052442,-0.298266
3.355196,0.075335,-0.285895
3.360196,0.114917,-0.240264
3.365196,0.117104,-0.166821
3.370196,0.085733,-0.155132
3.375196,0.057308,-0.133849
3.380196,0.052706,-0.126321
3.385196,0.002928,-0.073746
3.390196,-0.045778,-0.015795
3.395196,-0.084921,-0.003254
3.400196,-0.075352,-0.044909
3.405196,-0.043478,-0.097381
3.410196,-0.050735,-0.099462
3.415196,-0.04735,-0.04178
3.420196,-0.045443,0.070984
3.425196,-0.023249,0.074728
3.430196,-0.042249,0.021181
3.435196,-0.074848,-0.032658
3.440196,-0.089702,-0.045697
3.445196,-0.102575,-0.000612
3.450196,-0.112543,0.036604
3.455196,-0.135455,0.042298
3.460196,-0.127877,0.009834
3.465196,-0.121501,0.010216
3.470196,-0.115086,0.000652
3.475196,-0.107799,0.005636
3.480196,-0.106711,0.006329
3.485196,-0.101368,-0.001662
3.490196,-0.119956,0.013846
3.495196,-0.129972,0.009078
3.500196,-0.140203,0.021797
3.505196,-0.141455,0.022099
3.510196,-0.150949,0.028102
3.515196,-0.170121,0.039989
3.520196,-0.155685,0.03217
3.525196,-0.142587,0.044802
3.530196,-0.1332,0.06784
3.535196,-0.13162,0.075518
3.540196,-0.122855,0.066298
3.545196,-0.113424,0.060688
3.550196,-0.1096,0.056971
3.555196,-0.100563,0.051453
3.560196,-0.102874,0.034934
3.565196,-0.082856,0.017981
3.570196,-0.061613,0.049969
3.575196,-0.060296,0.143535
3.580196,-0.040853,0.128413
3.585196,-0.04359,0.053212
3.590196,-0.106713,0.032311
3.595196,-0.1428,0.03141
3.600196,-0.116484,0.045442
3.605196,-0.093522,0.030409
3.610196,-0.099557,0.035697
3.615196,-0.06057,0.028696
3.620196,0.007629,0.065737
3.625196,0.065366,0.103789
3.630196,0.083235,0.117357
3.635196,0.062263,0.126546
3.640196,0.078442,0.076357
3.645196,0.077681,0.071261
3.650196,0.056647,0.045517
3.655196,0.021915,0.027561
3.660196,0.032946,0.0344
3.665196,0.059707,0.021172
3.670196,0.057124,0.001465
3.675196,0.085367,-0.058041
3.680196,0.126577,-0.073244
3.685196,0.17975,-0.104781
3.690196,0.184571,-0.080241
3.695196,0.179826,-0.071516
3.700196,0.198888,-0.08625
3.705196,0.176316,-0.065962
3.710196,0.160808,-0.098379
3.715196,0.131748,-0.085664
3.720196,0.122196,-0.063374
3.725196,0.123654,-0.038086
3.730196,0.120506,-0.060868
3.735196,0.119523,-0.068507
3.740196,0.135154,-0.057214
3.745196,0.173317,-0.081761
3.750196,0.18146,-0.081684
3.755196,0.180341,-0.096098
3.760196,0.172401,-0.092866
3.765196,0.174247,-0.068675
3.770196,0.156801,-0.061382
3.775196,0.116744,-0.057145
3.780196,0.08663,-0.046649
3.785196,0.072388,-0.01331
3.790196,0.05883,0.014753
3.795196,0.038673,-0.001594
3.800196,0.026989,-0.03102
3.805196,0.037092,-0.117075
3.810196,0.020333,-0.136475
3.815196,0.020976,-0.074652
3.820196,0.080081,-0.079721
3.825196,0.100384,-0.096119
3.830196,0.082305,-0.081138
3.835196,0.056425,-0.005729
3.840196,0.046356,0.03039
3.845196,0.005263,0.000091
3.850196,-0.037714,-0.078208
3.855196,-0.053798,-0.113248
3.860196,-0.067033,-0.048024
3.865196,-0.062826,0.009609
3.870196,-0.074811,0.012026
3.875196,-0.059003,-0.042612
3.880196,-0.040106,-0.061001
3.885196,-0.026756,-0.045486
3.890196,-0.04265,-0.027204
3.895196,-0.072842,-0.031577
3.900196,-0.079045,-0.087731
3.905196,-0.096977,-0.103047
3.910196,-0.126628,-0.082214
3.915196,-0.159948,-0.05079
3.920196,-0.148617,-0.051542
3.925196,-0.12714,-0.034393
3.930196,-0.130124,-0.000638
3.935196,-0.131268,0.016469
3.940196,-0.130468,0.024291
3.945196,-0.105045,0.004465
3.950196,-0.106799,0.024289
3.955196,-0.128928,0.041726
3.960196,-0.146292,0.041134
3.965196,-0.143294,0.021458
3.970196,-0.123545,0.005222
3.975196,-0.140103,0.034773
3.980196,-0.152265,0.071636
3.985196,-0.1541,0.100569
3.990196,-0.136309,0.110748
3.995196,-0.127822,0.103851
4.000196,-0.131572,0.097143
4.005196,-0.123934,0.086509
4.010196,-0.119214,0.074084
4.015196,-0.104528,0.035035
4.020196,-0.101621,0.012802
4.025196,-0.087352,0.025451
4.030196,-0.066828,0.019155
4.035196,-0.052058,0.05509
4.040196,-0.034631,0.07961
4.045196,-0.025648,0.049233
4.050196,-0.084559,0.065997
4.055196,-0.144126,0.067618
4.060196,-0.137756,0.036089
4.065196,-0.103738,0.040633
4.070196,-0.091551,0.087706
4.075196,-0.068686,0.103231
